,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.159,https://api.spotify.com/v1/audio-analysis/22hkXM7oXlbrMwMqTrB5hu,0.615,245105,0.532,22hkXM7oXlbrMwMqTrB5hu,0.0502,1,0.183,-11.038,1,0.162,120.063,4,https://api.spotify.com/v1/tracks/22hkXM7oXlbrMwMqTrB5hu,audio_features,spotify:track:22hkXM7oXlbrMwMqTrB5hu,0.402
1,0.0191,https://api.spotify.com/v1/audio-analysis/127U9tbcJl532Ypu8nDwQ9,0.61,106500,0.482,127U9tbcJl532Ypu8nDwQ9,2.89e-05,4,0.188,-11.578,0,0.402,79.76,4,https://api.spotify.com/v1/tracks/127U9tbcJl532Ypu8nDwQ9,audio_features,spotify:track:127U9tbcJl532Ypu8nDwQ9,0.56
2,0.00551,https://api.spotify.com/v1/audio-analysis/2ijgy2QuNDM5HHWDVcfHm7,0.672,123721,0.783,2ijgy2QuNDM5HHWDVcfHm7,0.000579,1,0.117,-8.896,1,0.482,80.008,4,https://api.spotify.com/v1/tracks/2ijgy2QuNDM5HHWDVcfHm7,audio_features,spotify:track:2ijgy2QuNDM5HHWDVcfHm7,0.327
3,0.00107,https://api.spotify.com/v1/audio-analysis/7BPXsxjIZYcF1ZSQrjZvWv,0.717,146339,0.471,7BPXsxjIZYcF1ZSQrjZvWv,0.0541,11,0.0676,-12.566,0,0.337,143.865,4,https://api.spotify.com/v1/tracks/7BPXsxjIZYcF1ZSQrjZvWv,audio_features,spotify:track:7BPXsxjIZYcF1ZSQrjZvWv,0.129
4,0.0815,https://api.spotify.com/v1/audio-analysis/4t4dg45VEgW1WbVeI60kN9,0.318,200610,0.656,4t4dg45VEgW1WbVeI60kN9,0.0156,6,0.582,-7.727,1,0.0377,111.575,4,https://api.spotify.com/v1/tracks/4t4dg45VEgW1WbVeI60kN9,audio_features,spotify:track:4t4dg45VEgW1WbVeI60kN9,0.363
5,0.399,https://api.spotify.com/v1/audio-analysis/6zKXnXw6fSPZXUI6bFGhhX,0.353,270964,0.227,6zKXnXw6fSPZXUI6bFGhhX,0.234,9,0.131,-15.448,0,0.119,143.462,3,https://api.spotify.com/v1/tracks/6zKXnXw6fSPZXUI6bFGhhX,audio_features,spotify:track:6zKXnXw6fSPZXUI6bFGhhX,0.305
6,0.0211,https://api.spotify.com/v1/audio-analysis/4AHddqpeS9H9tjbrE2BSNn,0.358,187611,0.375,4AHddqpeS9H9tjbrE2BSNn,0.105,3,0.106,-10.099,0,0.146,66.151,4,https://api.spotify.com/v1/tracks/4AHddqpeS9H9tjbrE2BSNn,audio_features,spotify:track:4AHddqpeS9H9tjbrE2BSNn,0.323
7,0.0196,https://api.spotify.com/v1/audio-analysis/0mcNGr0NXIuygzT16BbRkY,0.465,157500,0.857,0mcNGr0NXIuygzT16BbRkY,0.00357,1,0.54,-8.946,1,0.148,122.974,4,https://api.spotify.com/v1/tracks/0mcNGr0NXIuygzT16BbRkY,audio_features,spotify:track:0mcNGr0NXIuygzT16BbRkY,0.0504
8,0.0062,https://api.spotify.com/v1/audio-analysis/3m5OGY2se85EzhrEGx5ge9,0.494,158997,0.585,3m5OGY2se85EzhrEGx5ge9,0.00183,0,0.109,-9.619,0,0.0554,117.822,4,https://api.spotify.com/v1/tracks/3m5OGY2se85EzhrEGx5ge9,audio_features,spotify:track:3m5OGY2se85EzhrEGx5ge9,0.125
9,0.0243,https://api.spotify.com/v1/audio-analysis/2rwEEKEawa7CLp0QWcOoCP,0.188,287826,0.557,2rwEEKEawa7CLp0QWcOoCP,0.609,9,0.351,-15.035,0,0.0529,139.494,5,https://api.spotify.com/v1/tracks/2rwEEKEawa7CLp0QWcOoCP,audio_features,spotify:track:2rwEEKEawa7CLp0QWcOoCP,0.152
