,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0,0.005,https://api.spotify.com/v1/audio-analysis/3CSH5mED5047RR6gXalpp3,0.324,67933,0.569,3CSH5mED5047RR6gXalpp3,0.543,4,0.649,-16.463,1,0.0703,0,78.543,4,https://api.spotify.com/v1/tracks/3CSH5mED5047RR6gXalpp3,audio_features,spotify:track:3CSH5mED5047RR6gXalpp3,0.519
1,7.71e-05,https://api.spotify.com/v1/audio-analysis/6v4sQqDUB1iYjrcfKsUsF6,0.158,310093,0.907,6v4sQqDUB1iYjrcfKsUsF6,3.57e-06,4,0.308,-7.64,0,0.078,0,172.425,4,https://api.spotify.com/v1/tracks/6v4sQqDUB1iYjrcfKsUsF6,audio_features,spotify:track:6v4sQqDUB1iYjrcfKsUsF6,0.359
2,0.00197,https://api.spotify.com/v1/audio-analysis/1VKFrnYHKiJFptgAJyGcMz,0.287,262747,0.978,1VKFrnYHKiJFptgAJyGcMz,0.0,11,0.0937,-6.737,0,0.0914,0,150.122,4,https://api.spotify.com/v1/tracks/1VKFrnYHKiJFptgAJyGcMz,audio_features,spotify:track:1VKFrnYHKiJFptgAJyGcMz,0.457
3,0.00128,https://api.spotify.com/v1/audio-analysis/7BK6Un1D8hy7DflNExO8bV,0.424,304160,0.873,7BK6Un1D8hy7DflNExO8bV,0.0,0,0.206,-7.266,1,0.0643,0,149.003,4,https://api.spotify.com/v1/tracks/7BK6Un1D8hy7DflNExO8bV,audio_features,spotify:track:7BK6Un1D8hy7DflNExO8bV,0.543
4,0.00431,https://api.spotify.com/v1/audio-analysis/0BoNHovbDdeBllIkbVRFCO,0.481,308307,0.887,0BoNHovbDdeBllIkbVRFCO,4.89e-06,11,0.122,-6.599,0,0.0657,0,116.338,3,https://api.spotify.com/v1/tracks/0BoNHovbDdeBllIkbVRFCO,audio_features,spotify:track:0BoNHovbDdeBllIkbVRFCO,0.283
5,3.89e-05,https://api.spotify.com/v1/audio-analysis/0dwtWIKPaj1TnbFnEAzoRb,0.36,315453,0.965,0dwtWIKPaj1TnbFnEAzoRb,3.66e-06,11,0.322,-6.973,0,0.119,0,147.898,4,https://api.spotify.com/v1/tracks/0dwtWIKPaj1TnbFnEAzoRb,audio_features,spotify:track:0dwtWIKPaj1TnbFnEAzoRb,0.118
6,0.000444,https://api.spotify.com/v1/audio-analysis/07QREe91FdXnDtJ2cBAVUs,0.483,280307,0.871,07QREe91FdXnDtJ2cBAVUs,0.000498,0,0.287,-8.033,1,0.041,0,90.98,4,https://api.spotify.com/v1/tracks/07QREe91FdXnDtJ2cBAVUs,audio_features,spotify:track:07QREe91FdXnDtJ2cBAVUs,0.58
7,0.00129,https://api.spotify.com/v1/audio-analysis/1Kv0BjWvl5eNyiq6E4HIrz,0.284,817853,0.881,1Kv0BjWvl5eNyiq6E4HIrz,2.11e-06,9,0.142,-8.635,0,0.0678,0,126.095,4,https://api.spotify.com/v1/tracks/1Kv0BjWvl5eNyiq6E4HIrz,audio_features,spotify:track:1Kv0BjWvl5eNyiq6E4HIrz,0.337
8,5.56e-05,https://api.spotify.com/v1/audio-analysis/3yix9jv4MZRYCR7najlP64,0.417,315680,0.977,3yix9jv4MZRYCR7najlP64,0.00215,4,0.129,-7.746,0,0.104,0,134.928,4,https://api.spotify.com/v1/tracks/3yix9jv4MZRYCR7najlP64,audio_features,spotify:track:3yix9jv4MZRYCR7najlP64,0.122
9,0.00142,https://api.spotify.com/v1/audio-analysis/3vvGZfcL4WwipwGmfvGKoQ,0.416,247587,0.906,3vvGZfcL4WwipwGmfvGKoQ,0.000786,3,0.0849,-3.257,1,0.169,0,130.056,4,https://api.spotify.com/v1/tracks/3vvGZfcL4WwipwGmfvGKoQ,audio_features,spotify:track:3vvGZfcL4WwipwGmfvGKoQ,0.439
